"Location","Republican Vote Share","Partisan Segregation"
"Jackson, MS",0.399,0.63
"New Orleans, LA",0.416,0.58
"Baton Rouge, LA",0.497,0.56
"Birmingham, AL",0.455,0.56
"Shreveport, LA",0.444,0.56
"Memphis, TN",0.364,0.55
"Columbus, GA",0.391,0.52
"Mobile, AL",0.482,0.51
"Montgomery, AL",0.418,0.5
"New York, NY",0.333,0.47
"Lafayette, LA",0.639,0.47
"Augusta, GA",0.497,0.45
"Savannah, GA",0.365,0.45
"Atlanta, GA",0.400,0.45
"Baltimore, MD",0.367,0.43
"Columbia, SC",0.461,0.42
"Chicago, IL",0.296,0.4
"Richmond, VA",0.388,0.39
"Milwaukee, WI",0.408,0.39
"Houston, TX",0.442,0.38
"Cleveland, OH",0.383,0.38
"Little Rock, AR",0.436,0.38
"St. Louis, MO",0.429,0.38
"Philadelphia, PA",0.327,0.36
"Greensboro, NC",0.314,0.36
"Winston-Salem, NC",0.441,0.36
"Chattanooga, TN",0.581,0.36
"Indianapolis, IN",0.486,0.36
"Charlotte, NC",0.403,0.36
"Washington, D.C.",0.231,0.36
"Nashville, TN",0.464,0.35
"Detroit, MI",0.417,0.35
"Cincinnati, OH",0.533,0.34
"Los Angeles, CA",0.274,0.34
"Trenton, NJ",0.338,0.34
"Flint, MI",0.401,0.34
"Virginia Beach, VA",0.421,0.33
"Asheville, NC",0.423,0.33
"Bakersfield, CA",0.550,0.32
"Dallas, TX",0.472,0.32
"Austin, TX",0.328,0.32
"Eugene, OR",0.314,0.31
"Portland, OR",0.304,0.31
"Springfield, MA",0.373,0.31
"Seattle, WA",0.285,0.3
"Jacksonville, FL",0.542,0.3
"Tallahassee, FL",0.327,0.3
"Louisville, KY",0.464,0.3
"Fayetteville, NC",0.368,0.3
"Huntsville, AL",0.548,0.29
"Greenville, SC",0.637,0.29
"Reading, PA",0.458,0.29
"Dayton, OH",0.536,0.29
"Boston, MA",0.322,0.29
"Fresno, CA",0.451,0.29
"Pittsburgh, PA",0.461,0.29
"Columbus, OH",0.380,0.29
"Ann Arbor, MI",0.219,0.29
"Buffalo, NY",0.442,0.29
"Salt Lake City, UT",0.438,0.28
"San Francisco, CA",0.134,0.28
"Grand Rapids, MI",0.499,0.28
